id,municipio,nombre,direccion,lunesViernes,horarioSabado,horarioDomingo ,picoyCedula,pcLunes,pcMartes,pcMiercoles,pcJueves,pcViernes,pcSabado,pcDomingo,domicilioDirecto,whatsappDomicilio,telefono
,ARMENIA,DEL NORTE,Carrera 14 No. 8N - 13 Av. Bolivar,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3187119270,-,7458077
,ARMENIA,SAO PORTAL QUINDIO,Calle 19 Norte No. 13 - 9,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3187119272,-,7495200- 7359393
,ARMENIA,EL BOSQUE,Calle 22 No. 22 - 65,7:00 AM A 9:00 PM,6:00 AM A 9:00 PM,8:00 AM A 9:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3187119294,-,7386858
,ARMENIA,SAO ARMENIA SUR,Calle 30 No. 40 - 80,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 9:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3173709114,-,7313466
,MANIZALES,MANIZALES CENTRO,Carrera 21 No. 17 - 35,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 8:00 PM,,,,,,,,,-,Si,8918575
,MANIZALES,MANIZALES,Carrera 23 No. 59 - 70 Local 13,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 8:00 PM,,,,,,,,,3187119900,No,8918575
,MANIZALES,AV SANTANDER,Calle 50 No. 23 - 1,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 8:00 PM,,,,,,,,,3187119582,Si,8918575
,VILLAMARIA,VILLA MARIA,Calle 8 No. 5 - 20,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 8:00 PM,,,,,,,,,3183727580,Si,8918575
,MANIZALES,LA COSECHA,Calle 24 No. 16 - 37,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 6:00 PM,,,,,,,,,-,No,8918575
,CHINCHINÁ,CHINCHINÁ,Calle10 No. 7 - 41,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 8:00 PM,,,,,,,,,3174291386,No,8918575
